"USPS","GEOID","POP00","HU00","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","COUNTY","dcbd","countycode","statecode","tract00"
"TX","48201341100",3348,1603,4563639,0,1.762,0,29.540581,-95.121257,"Harris",21.2666405904693,"201","48","341100"
"TX","48201341200",7521,4004,12090888,1328218,4.6683,0.5128,29.54202,-95.095486,"Harris",22.3107154658336,"201","48","341200"
"TX","48201341300",6882,4135,13858634,452766,5.3508,0.1748,29.56277,-95.108037,"Harris",20.7935579191004,"201","48","341300"
"TX","48201341400",5396,2177,14109255,1756581,5.4476,0.6782,29.580596,-95.05723,"Harris",22.4785318884968,"201","48","341400"
"TX","48201341500",8139,4192,6909571,2148339,2.6678,0.8295,29.571816,-95.040926,"Harris",23.6296701179944,"201","48","341500"
"TX","48201341600",5267,2048,20120879,1340559,7.7687,0.5176,29.578211,-95.01672,"Harris",24.626202949248,"201","48","341600"
"TX","48201341700",3011,1301,2696539,171853,1.0411,0.0664,29.621789,-95.012121,"Harris",23.4825965492648,"201","48","341700"
"TX","48201341800",1889,865,4532151,47873,1.7499,0.0185,29.62711,-95.026032,"Harris",22.5702967995525,"201","48","341800"
"TX","48201341900",92,53,33125463,104386,12.7898,0.0403,29.624686,-95.061114,"Harris",20.7411821692279,"201","48","341900"
"TX","48201342000",8635,2793,8629813,0,3.332,0,29.642063,-95.138143,"Harris",16.1069688315645,"201","48","342000"
"TX","48201342100",4098,1365,4293743,0,1.6578,0,29.659596,-95.142535,"Harris",15.2926438896841,"201","48","342100"
"TX","48201342200",4987,2093,2849036,0,1.1,0,29.673279,-95.146284,"Harris",14.6808790698478,"201","48","342200"
"TX","48201342300",6240,2205,2785743,0,1.0756,0,29.675205,-95.127982,"Harris",15.638451043664,"201","48","342300"
"TX","48201342400",2943,1280,3546369,0,1.3693,0,29.687697,-95.147304,"Harris",14.2444980262908,"201","48","342400"
"TX","48201342500",6099,2173,6576707,0,2.5393,0,29.694229,-95.132211,"Harris",14.9511996167019,"201","48","342500"
"TX","48201342600",536,219,55171810,13137252,21.302,5.0723,29.713676,-95.070522,"Harris",18.2231890476701,"201","48","342600"
"TX","48201342700",5252,1949,3488827,0,1.347,0,29.697112,-95.117747,"Harris",15.7229888213573,"201","48","342700"
"TX","48201342800",5065,1619,7308878,0,2.822,0,29.688695,-95.10375,"Harris",16.6943444608776,"201","48","342800"
"TX","48201342900",5855,1985,5907158,0,2.2808,0,29.671435,-95.111623,"Harris",16.6462799443293,"201","48","342900"
"TX","48201343000",6272,2282,5657987,0,2.1846,0,29.659825,-95.103205,"Harris",17.4207284091438,"201","48","343000"
"TX","48201343100",4247,1441,2041487,0,0.7882,0,29.658629,-95.077954,"Harris",18.8504792134148,"201","48","343100"
"TX","48201343200",4054,1345,4536024,0,1.7514,0,29.659163,-95.062969,"Harris",19.6743895375613,"201","48","343200"
"TX","48201343300",8595,2931,15859531,0,6.1234,0,29.673332,-95.071705,"Harris",18.8503945631361,"201","48","343300"
"TX","48201343400",2927,1272,7308437,0,2.8218,0,29.662917,-95.028246,"Harris",21.5516508796455,"201","48","343400"
"TX","48201343500",3079,1142,3419584,0,1.3203,0,29.660163,-95.013472,"Harris",22.4533508425551,"201","48","343500"
"TX","48201350100",3635,1260,18832749,1328970,7.2714,0.5131,29.574979,-95.229102,"Harris",15.321560430199,"201","48","350100"
"TX","48201350200",8572,2770,3513756,0,1.3567,0,29.594681,-95.23272,"Harris",14.0772481824541,"201","48","350200"
"TX","48201350300",6290,2063,2204929,0,0.8513,0,29.583188,-95.224905,"Harris",14.9958587980933,"201","48","350300"
"TX","48201350400",5571,1867,2691684,0,1.0393,0,29.593581,-95.210993,"Harris",14.9343176125935,"201","48","350400"
"TX","48201350500",5551,1802,5988962,0,2.3124,0,29.587931,-95.198068,"Harris",15.7333245148936,"201","48","350500"
"TX","48201350600",10890,3818,16549859,0,6.3899,0,29.54322,-95.174112,"Harris",19.0330118781126,"201","48","350600"
"TX","48201350700",2458,884,1535753,0,0.593,0,29.535665,-95.186089,"Harris",19.0214786240534,"201","48","350700"
"TX","48201350800",8283,3458,17170888,0,6.6297,0,29.525479,-95.16452,"Harris",20.3553284140599,"201","48","350800"
"TX","48201410100",1756,896,1230960,0,0.4753,0,29.755378,-95.380015,"Harris",0.703648022219276,"201","48","410100"
"TX","48201410200",2942,1871,1290280,0,0.4982,0,29.756028,-95.391747,"Harris",1.35407862555796,"201","48","410200"
"TX","48201410300",2788,2219,1042220,0,0.4024,0,29.756078,-95.404324,"Harris",2.09643163660537,"201","48","410300"
"TX","48201410400",5874,3756,1615770,0,0.6239,0,29.747628,-95.402666,"Harris",2.15996107500298,"201","48","410400"
"TX","48201410500",3932,2461,1079907,0,0.417,0,29.748478,-95.388365,"Harris",1.3823348777811,"201","48","410500"
"TX","48201410600",2327,1502,995405,0,0.3843,0,29.746178,-95.377924,"Harris",1.08749041667096,"201","48","410600"
"TX","48201410700",6170,4196,1996244,0,0.7708,0,29.739278,-95.389315,"Harris",1.86396969686389,"201","48","410700"
"TX","48201410800",4071,2713,1009158,0,0.3896,0,29.738178,-95.405466,"Harris",2.6300850701751,"201","48","410800"
"TX","48201410900",2824,1696,823106,0,0.3178,0,29.733579,-95.395568,"Harris",2.40625784040808,"201","48","410900"
"TX","48201411000",3229,2366,1452332,0,0.5607,0,29.737779,-95.417016,"Harris",3.23311080807054,"201","48","411000"
"TX","48201411100",3309,1785,1368394,0,0.5283,0,29.749578,-95.413666,"Harris",2.73729621534923,"201","48","411100"
"TX","48201411200",1882,757,3474337,0,1.3414,0,29.751128,-95.431681,"Harris",3.76954848552423,"201","48","411200"
"TX","48201411300",3972,3142,1317376,0,0.5086,0,29.748757,-95.452467,"Harris",5.02580891727336,"201","48","411300"
"TX","48201411400",2949,1329,1705796,0,0.6586,0,29.744928,-95.432966,"Harris",3.9381518908345,"201","48","411400"
"TX","48201411500",7340,5131,3450272,0,1.3322,0,29.735979,-95.435095,"Harris",4.26392007639553,"201","48","411500"
"TX","48201411600",2201,1156,1332361,0,0.5144,0,29.735679,-95.453071,"Harris",5.2788463017466,"201","48","411600"
"TX","48201411700",2227,1673,1192112,0,0.4603,0,29.724197,-95.455661,"Harris",5.72368024320448,"201","48","411700"
"TX","48201411800",4213,3152,2056438,0,0.794,0,29.727879,-95.430286,"Harris",4.26473219613586,"201","48","411800"
"TX","48201411900",3780,2206,1737599,0,0.6709,0,29.728679,-95.397065,"Harris",2.72684319050589,"201","48","411900"
"TX","48201412000",2926,1409,1510916,0,0.5834,0,29.721729,-95.411636,"Harris",3.65900893947908,"201","48","412000"
"TX","48201412100",979,26,1215431,0,0.4693,0,29.717029,-95.404571,"Harris",3.64233707867988,"201","48","412100"
"TX","48201412200",5143,2522,2382752,0,0.92,0,29.707979,-95.410787,"Harris",4.36838149373508,"201","48","412200"
"TX","48201412300",6473,2582,2377955,0,0.9181,0,29.716329,-95.423516,"Harris",4.42728373256634,"201","48","412300"
"TX","48201412400",4329,1602,1697522,0,0.6554,0,29.715879,-95.435593,"Harris",4.9989804465209,"201","48","412400"
"TX","48201412500",1546,647,638520,0,0.2465,0,29.709629,-95.435442,"Harris",5.26760817417004,"201","48","412500"
"TX","48201412600",3409,1359,1218316,0,0.4704,0,29.714929,-95.444092,"Harris",5.44828361637951,"201","48","412600"
"TX","48201412700",3033,1359,1991297,0,0.7688,0,29.714929,-95.45232,"Harris",5.85916537681267,"201","48","412700"
"TX","48201412800",4330,1728,2080778,0,0.8034,0,29.69728,-95.450092,"Harris",6.49107086844094,"201","48","412800"
"TX","48201412900",3252,1830,2084486,0,0.8048,0,29.68448,-95.448174,"Harris",7.03588498538861,"201","48","412900"
"TX","48201413000",3259,1457,1615102,0,0.6236,0,29.69818,-95.442047,"Harris",6.09735253805087,"201","48","413000"
"TX","48201413100",2799,1172,1438097,0,0.5553,0,29.69833,-95.432792,"Harris",5.70790738391783,"201","48","413100"
"TX","48201413200",4646,3611,1063521,0,0.4106,0,29.69978,-95.420564,"Harris",5.16931527978373,"201","48","413200"
"TX","48201413300",6175,3040,3225471,0,1.2454,0,29.68788,-95.428717,"Harris",6.12200559082564,"201","48","413300"
